2025-09-03 15:29:47,623 - Awake script started.
2025-09-03 15:29:57,632 - Mouse moved by (20, 8) and returned.
2025-09-03 15:30:08,982 - Mouse moved by (-7, -5) and returned.
2025-09-03 15:30:18,989 - Mouse moved by (-5, -14) and returned.
2025-09-03 15:30:28,997 - Mouse moved by (-9, -17) and returned.
2025-09-03 15:30:40,467 - Mouse moved by (7, 9) and returned.
2025-09-03 15:30:50,474 - Mouse moved by (-10, 20) and returned.
2025-09-03 15:31:00,480 - Mouse moved by (-12, 13) and returned.
2025-09-03 15:31:12,119 - Mouse moved by (11, -16) and returned.
2025-09-03 15:31:22,128 - Mouse moved by (-15, -7) and returned.
2025-09-03 15:31:32,134 - Mouse moved by (9, -15) and returned.
2025-09-03 15:31:43,759 - Mouse moved by (-13, 11) and returned.
2025-09-03 15:31:53,769 - Mouse moved by (-8, -8) and returned.
2025-09-03 15:32:03,779 - Mouse moved by (10, -8) and returned.
2025-09-03 15:32:13,786 - Mouse moved by (10, 16) and returned.
2025-09-03 15:32:25,547 - Mouse moved by (-20, 18) and returned.
2025-09-03 15:32:35,557 - Mouse moved by (-5, -18) and returned.
2025-09-03 15:32:45,561 - Mouse moved by (-16, -5) and returned.
2025-09-03 15:32:57,219 - Mouse moved by (-15, -11) and returned.
2025-09-03 15:33:07,230 - Mouse moved by (-20, -6) and returned.
2025-09-03 15:33:17,233 - Mouse moved by (12, 14) and returned.
2025-09-03 15:33:28,996 - Mouse moved by (-14, 14) and returned.
2025-09-03 15:33:39,005 - Mouse moved by (-20, 13) and returned.
2025-09-03 15:33:49,008 - Mouse moved by (9, 17) and returned.
2025-09-03 15:34:00,657 - Mouse moved by (5, 6) and returned.
2025-09-03 15:34:10,665 - Mouse moved by (16, 9) and returned.
2025-09-03 15:34:20,676 - Mouse moved by (16, -9) and returned.
2025-09-03 15:34:30,686 - Mouse moved by (-6, -6) and returned.
2025-09-03 15:34:42,446 - Mouse moved by (8, -5) and returned.
2025-09-03 15:34:52,455 - Mouse moved by (-18, 16) and returned.
2025-09-03 15:35:02,465 - Mouse moved by (20, -13) and returned.
2025-09-03 15:35:14,137 - Mouse moved by (-20, 8) and returned.
2025-09-03 15:35:24,147 - Mouse moved by (-19, 9) and returned.
2025-09-03 15:35:34,158 - Mouse moved by (-5, -10) and returned.
2025-09-03 15:35:45,496 - Mouse moved by (9, 14) and returned.
2025-09-03 15:35:55,506 - Mouse moved by (-19, 9) and returned.
2025-09-03 15:36:05,516 - Mouse moved by (-13, 6) and returned.
2025-09-03 15:36:17,035 - Mouse moved by (19, -9) and returned.
2025-09-03 15:36:27,043 - Mouse moved by (-10, -10) and returned.
2025-09-03 15:36:37,055 - Mouse moved by (-18, -13) and returned.
2025-09-03 15:36:48,564 - Mouse moved by (11, -8) and returned.
2025-09-03 15:36:58,573 - Mouse moved by (-9, -12) and returned.
2025-09-03 15:37:08,582 - Mouse moved by (8, 20) and returned.
2025-09-03 15:37:18,590 - Mouse moved by (-5, -20) and returned.
2025-09-03 15:37:30,113 - Mouse moved by (-12, -14) and returned.
2025-09-03 15:37:40,124 - Mouse moved by (15, -6) and returned.
2025-09-03 15:37:50,133 - Mouse moved by (13, 15) and returned.
2025-09-03 15:38:01,659 - Mouse moved by (-14, 12) and returned.
2025-09-03 15:38:11,666 - Mouse moved by (14, -18) and returned.
2025-09-03 15:38:21,676 - Mouse moved by (12, 18) and returned.
2025-09-03 15:38:33,205 - Mouse moved by (-10, 11) and returned.
2025-09-03 15:38:43,216 - Mouse moved by (15, -20) and returned.
2025-09-03 15:38:53,221 - Mouse moved by (-20, -19) and returned.
2025-09-03 15:39:04,754 - Mouse moved by (-6, -11) and returned.
2025-09-03 15:39:14,759 - Mouse moved by (19, -18) and returned.
2025-09-03 15:39:24,770 - Mouse moved by (-10, -18) and returned.
